,,,,, DL SUBSIDIZED- UNDERGRADUATE ,,,,, DL SUBSIDIZED- GRADUATE ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00106100,ALASKA PACIFIC UNIVERSITY,AK,99508,PRIVATE, 234 , 235 ," $1,029,839.00 ",235," $543,444.00 ", 106 , 106 ," $807,462.00 ",106," $440,993.00 ", 229 , 231 ," $1,130,540.00 ",231," $592,659.00 ", 91 , 91 ," $952,079.00 ",91," $512,270.00 ", 37 , 37 ," $542,912.00 ",37," $284,120.00 ", 4 , 4 ," $50,790.00 ",4," $23,505.00 "
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,99775,PUBLIC," 1,395 "," 1,435 "," $5,199,649.00 ","1,435"," $2,865,794.00 ", 218 , 228 ," $1,533,289.00 ",228," $820,725.00 "," 1,418 "," 1,489 "," $6,693,304.00 ","1,489"," $3,672,335.00 ", 155 , 162 ," $1,418,657.00 ",162," $775,875.00 ", 70 , 80 ," $503,452.00 ",80," $261,266.00 ", 2 , 2 ," $10,852.00 ",2," $6,821.00 "
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,99801,PUBLIC, 375 , 385 ," $1,419,529.00 ",385," $764,945.00 ", 91 , 94 ," $660,772.00 ",140," $450,679.00 ", 385 , 396 ," $1,951,401.00 ",396," $1,057,175.00 ", 81 , 82 ," $832,236.00 ",116," $535,356.00 ", 31 , 31 ," $318,643.00 ",31," $175,974.00 ", 3 , 3 ," $16,251.00 ",3," $8,126.00 "
00884300,ALASKA BIBLE COLLEGE,AK,99588,PRIVATE, 2 , 2 ," $7,000.00 ",2," $3,500.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $1,965.00 ",1, $982.00 , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01146200,UNIVERSITY OF ALASKA ANCHORAGE,AK,99508,PUBLIC," 3,358 "," 3,380 "," $12,501,086.00 ","3,380"," $6,910,314.00 ", 230 , 234 ," $1,627,479.00 ",234," $889,838.00 "," 3,451 "," 3,490 "," $17,419,118.00 ","3,490"," $9,646,662.00 ", 206 , 211 ," $2,093,432.00 ",211," $1,176,049.00 ", 271 , 273 ," $2,769,684.00 ",273," $1,492,696.00 ", 74 , 75 ," $274,570.00 ",75," $151,808.00 "
02541000,ALASKA CAREER COLLEGE,AK,99507,PROPRIETARY, 59 , 59 ," $195,998.00 ",59," $97,274.00 ", -   , -   , $-   ,0, $-   , 53 , 84 ," $249,494.00 ",84," $120,799.00 ", -   , -   , $-   ,0, $-   , 2 , 2 ," $21,220.00 ",2," $10,610.00 ", -   , -   , $-   ,0, $-   
02576900,CHARTER COLLEGE,AK,99508,PROPRIETARY, 244 , 244 ," $790,433.00 ",284," $332,397.00 ", -   , -   , $-   ,0, $-   , 239 , 428 ," $966,171.00 ",508," $413,766.00 ", -   , -   , $-   ,0, $-   , 8 , 8 ," $39,151.00 ",8," $19,556.00 ", -   , -   , $-   ,0, $-   
03160300,AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY,AK,99664,PUBLIC, 46 , 46 ," $138,884.00 ",46," $75,033.00 ", -   , -   , $-   ,0, $-   , 51 , 51 ," $214,022.00 ",51," $110,570.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,35762,PUBLIC," 3,041 "," 3,095 "," $11,312,971.00 ","3,095"," $6,102,810.00 ", 467 , 486 ," $2,914,422.00 ",486," $1,620,366.00 "," 3,204 "," 3,904 "," $12,867,079.00 ","3,905"," $6,895,811.00 ", 468 , 512 ," $3,054,197.00 ",512," $1,699,414.00 ", 510 , 551 ," $3,309,435.00 ",552," $1,754,348.00 ", 1 , 1 ," $6,524.00 ",1," $3,262.00 "
