,,,,, DL SUBSIDIZED ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,,
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,35762,Public," 2,541 "," 2,552 "," $9,933,986.00 "," 2,552 "," $5,219,613.00 "," 2,591 "," 2,856 "," $9,902,541.00 "," 2,856 "," $5,264,504.00 ", 862 , 883 ," $15,242,273.00 ", 883 ," $7,938,704.00 ", 695 , 707 ," $8,063,228.00 ", 707 ," $4,242,989.00 ", 133 , 134 ," $788,345.00 ", 134 ," $431,138.00 ",,35762
00100300,FAULKNER UNIVERSITY,AL,36109,Private-Nonprofit," 1,059 "," 1,067 "," $3,585,984.00 "," 1,172 "," $1,886,654.00 ", 936 ," 1,008 "," $2,788,839.00 "," 1,076 "," $1,391,846.00 ", 437 , 443 ," $6,641,842.00 ", 447 ," $3,454,335.00 ", 140 , 146 ," $1,284,777.00 ", 150 ," $663,204.00 ", 191 , 206 ," $5,100,279.00 ", 207 ," $2,600,270.00 ",,36109
00100400,UNIVERSITY OF MONTEVALLO,AL,35115,Public," 1,200 "," 1,221 "," $4,662,072.00 "," 1,221 "," $2,504,984.00 "," 1,247 "," 1,342 "," $4,851,380.00 "," 1,342 "," $2,602,179.00 ", 216 , 223 ," $3,233,900.00 ", 223 ," $1,808,611.00 ", 189 , 204 ," $1,972,127.00 ", 204 ," $1,066,319.00 ", 6 , 6 ," $51,096.00 ", 6 ," $25,548.00 ",,35115
00100500,ALABAMA STATE UNIVERSITY,AL,36104,Public," 2,568 "," 2,619 "," $9,635,641.00 "," 2,619 "," $5,200,655.00 "," 2,574 "," 3,006 "," $9,586,668.00 "," 3,007 "," $5,274,506.00 ", 419 , 474 ," $6,527,352.00 ", 474 ," $3,565,697.00 ", 668 , 683 ," $6,847,729.00 ", 683 ," $3,651,056.00 ", 82 , 89 ," $754,698.00 ", 89 ," $395,684.00 ",,36104
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,35010,Public, 446 , 446 ," $1,403,100.00 ", 446 ," $793,233.00 ", 404 , 405 ," $1,324,619.00 ", 405 ," $743,066.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $4,893.00 ", 1 ," $2,447.00 ", -   , -   , $-   , -   , $-   ,,35010
00100800,ATHENS STATE UNIVERSITY,AL,35611,Public," 1,196 "," 1,209 "," $5,131,206.00 "," 1,210 "," $2,811,034.00 "," 1,030 "," 1,038 "," $6,328,269.00 "," 1,038 "," $3,414,986.00 ", -   , -   , $-   , -   , $-   , 15 , 15 ," $97,659.00 ", 15 ," $47,365.00 ", -   , -   , $-   , -   , $-   ,,35611
00100900,AUBURN UNIVERSITY,AL,36849,Public," 5,157 "," 5,157 "," $20,948,784.00 "," 5,196 "," $11,157,280.00 "," 5,616 "," 5,617 "," $19,988,629.00 "," 5,684 "," $10,627,506.00 "," 1,706 "," 1,706 "," $40,252,931.00 "," 1,734 "," $20,500,273.00 "," 1,313 "," 1,339 "," $29,928,201.00 "," 1,351 "," $15,891,567.00 ", 322 , 324 ," $5,414,361.00 ", 325 ," $2,878,077.00 ",,36849
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,35254,Private-Nonprofit, 430 , 430 ," $1,702,368.00 ", 431 ," $891,487.00 ", 558 , 597 ," $2,003,585.00 ", 598 ," $1,034,919.00 ", -   , -   , $-   , -   , $-   , 149 , 150 ," $2,292,555.00 ", 150 ," $1,223,992.00 ", -   , -   , $-   , -   , $-   ,,35254
00101300,CALHOUN COMMUNITY COLLEGE,AL,35671,Public," 1,910 "," 1,910 "," $5,959,788.00 "," 1,910 "," $3,549,855.00 "," 1,769 "," 1,769 "," $6,106,491.00 "," 1,769 "," $3,469,300.00 ", -   , -   , $-   , -   , $-   , 8 , 8 ," $28,560.00 ", 8 ," $16,570.00 ", -   , -   , $-   , -   , $-   ,,35671
